name,id,regio,country
Alice H. Oh,B88-xMEAAAAJ,Asia,South Korea
Ari Rappoport,qhQPnpMAAAAJ,Europe,Israel
Dan Roth,E-bpPWgAAAAJ,North America,United States
Denilson Barbosa,zd0qalEAAAAJ,North America,Canada
Joyce Y. Chai,NONE,North America,United States
Lawrence Carin,ZhGL6WcAAAAJ,Asia,Saudi Arabia
Marti A. Hearst,664NOb0AAAAJ,North America,United States
Norman M. Sadeh,NONE,,
Sanda M. Harabagiu,BCdxdLQAAAAJ,North America,United States
Shimei Pan,HUpnUScAAAAJ,,
Suresh Manandhar,EJh5zWwAAAAJ,Europe,United Kingdom
Timothy Baldwin,wjBD1dkAAAAJ,Australia,Australia
Tom M. Mitchell,MnfzuPYAAAAJ,North America,United States
Xueqi Cheng,NONE,,
