Yoshua Bengio,kukA0LcAAAAJ,1986
Jiawei Han,Kv9AbjMAAAAJ,1985
Christopher D. Manning,1zmDOdwAAAAJ,1992
Andrew McCallum,yILa1y0AAAAJ,1990
Kyunghyun Cho,0RAmmIAAAAAJ,2010
Erik Cambria,ilSYpW0AAAAJ,2009
Soujanya Poria,oS6gRc4AAAAJ,2010
Kate Saenko,9xDADY4AAAAJ,2004
Luke S. Zettlemoyer,UjpbO6IAAAAJ,1998
Eric P. Xing,5pKTRxEAAAAJ,1998
Graham Neubig,wlosgkoAAAAJ,2009
Tong Zhang,LurWtuYAAAAJ,1996
Bing Liu,Kt1bjZoAAAAJ,1988
Noah A. Smith,TjdFs3EAAAAJ,2000
Omer Levy,PZVd2h8AAAAJ,2012
H. Andrew Schwartz,Na16PsUAAAAJ,2006
Jie Tang,n1zDCkQAAAAJ,2003
Mark Dredze,7jNkTbYAAAAJ,2003
Zhiyuan Liu,dT0v5u0AAAAJ,2008
Samuel R. Bowman,kV9XRxYAAAAJ,2010
Zhiting Hu,N7_xhHoAAAAJ,2013
Daniel Jurafsky,uZg9l58AAAAJ,1988
Yoav Goldberg,0rskDKgAAAAJ,2006
ChengXiang Zhai,YU-baPIAAAAJ,1990
Mirella Lapata,j67B9Q4AAAAJ,1999
Tat-Seng Chua,Z9DWCBEAAAAJ,1984
Xin Wang,YjqluE0AAAAJ,2017
Yong Yu,-84M1m0AAAAJ,2001
Michael R. Lyu,uQnBgK0AAAAJ,1985
Tom M. Mitchell,MnfzuPYAAAAJ,1977
Raymond J. Mooney,p9RsPG4AAAAJ,1985
Lawrence Carin,ZhGL6WcAAAAJ,1986
Dan Roth,E-bpPWgAAAAJ,1992
Lyle H. Ungar,KCiDjbkAAAAJ,1980
